分类	WarehouseCode	FactoryCode	库存行数	库存数量
A	010497	BJ	39	.00
A	011110	BJ	2	.00
A	011140	CN	3	.00
A	011240	BJ	1	200.00
A	011280	BJ	4	56.00
A	011430	BJ	1	10.00
A	011498	BJ	41	.00
A	011530	BJ	3	20.00
A	011622	CN	81	1116.00
A	011630	BJ	1	.00
A	011631	BJ	1	.00
A	011632	BJ	1	.00
A	012120	BJ	17	205.00
A	012130	BJ	117	51239.00
A	012160	CN	230	4755.00
A	012520	CN	9	126.00
A	012700	CN	9	33.00
A	012871	BJ	47	851.00
A	012872	BJ	27	458.00
A	012874	BJ	8	38.00
A	012875	BJ	2	44.00
A	013020	BJ	1	.00
A	013030	CN	3	12.00
A	013032	CN	60	366.00
A	013040	CN	163	526.00
A	013060	CN	40	44.00
A	013090	CN	1	1.00
A	013110	CN	12	93.00
A	013303	CN	20	451.00
A	013810	CN	557	-3147.00
A	013820	CN	62	-213.00
A	013830	CN	25	-1973.00
A	013840	CN	14	6.00
A	013910	CN	1323	3320.00
A	013920	CN	1	1.00
A	013930	CN	12	5.00
A	014000	CN	8	6.00
A	014010	CN	142	572.00
A	014100	CN	45	21.00
A	014110	CN	2894	46163.00
A	014120	CN	516	7809.00
A	014130	CN	347	4873.00
A	014131	CN	84	583.00
A	014160	CN	369	13038.00
A	014200	CN	20	1.00
A	014210	CN	1202	19551.00
A	014220	CN	91	324.00
A	014300	CN	11	.00
A	014400	CN	112	221.00
A	014420	BJ	1	.00
A	014496	BJ	204	.00
A	014500	CN	4	65.00
A	014800	CN	2	.00
A	014991	CN	211	1188.00
A	014992	CN	7	10.00
A	014993	CN	406	1715.00
A	014994	CN	469	4010.00
A	014995	CN	8	21.00
A	016110	CN	1	2.00
A	016125	CN	1	.00
A	016210	CN	378	1240.00
A	016211	CN	4493	21471.00
A	016212	CN	195	503.00
A	016213	CN	228	211.00
A	016214	CN	374	1484.00
A	016215	CN	130	542.00
A	016220	CN	459	1541.00
A	016221	CN	351	298.00
A	016222	CN	1541	8043.00
A	016223	CN	2181	6225.00
A	016224	CN	25	74.00
A	016230	CN	294	3082.00
A	016231	CN	123	12311.00
A	016232	CN	6	7.00
A	016233	CN	2510	32040.00
A	016234	CN	76	-366.00
A	016235	CN	6	14.00
A	016236	CN	95	28179.00
A	016240	CN	164	307.00
A	016241	CN	141	409.00
A	016242	CN	470	-159.00
A	016243	CN	4	.00
A	016244	CN	60	36.00
A	016250	CN	360	2704.00
A	016251	CN	1220	2978.00
A	016252	CN	931	83636.00
A	016253	CN	351	1255.00
A	016254	CN	147	1837.00
A	016255	CN	16	33.00
A	016290	CN	14	32.00
A	016291	CN	23	272.00
A	016292	CN	15	77.00
A	016310	CN	793	-25117.00
A	016311	CN	1159	10468.00
A	016312	CN	362	3047.00
A	016313	CN	431	3162.00
A	016314	CN	160	12194.00
A	016315	CN	197	1527.00
A	016316	CN	96	12659.00
A	016321	CN	515	3316.00
A	016322	CN	171	313.00
A	016323	CN	709	2442.00
A	016324	CN	531	1673.00
A	016325	CN	214	1723.00
A	016326	CN	69	77.00
A	016327	CN	12	61.00
A	016328	CN	134	3279.00
A	016330	CN	63	173.00
A	016331	CN	246	551.00
A	016332	CN	29	47.00
A	016333	CN	104	163.00
A	016335	CN	48	74.00
A	016336	CN	15	56.00
A	016337	CN	4	6.00
A	016338	CN	23	31.00
A	016339	CN	6	1280.00
A	016340	CN	43	456.00
A	016341	CN	30	62.00
A	016342	CN	2	3.00
A	016343	CN	3	3.00
A	016344	CN	6	8.00
A	016345	CN	5	5.00
A	016346	CN	24	99.00
A	016347	CN	2	301.00
A	016390	CN	5	.00
A	016510	CN	118	934.00
A	016530	CN	55	-4113.00
A	016531	CN	475	2466.00
A	016532	CN	176	375.00
A	016533	CN	101	655.00
A	016535	CN	32	84.00
A	016537	CN	5	43.00
A	016591	CN	9	571.00
A	016610	CN	304	22031.00
A	016630	CN	2529	20141.00
A	016631	CN	298	2828.00
A	016632	CN	612	10262.00
A	016633	CN	658	3822.00
A	016634	CN	108	30548.00
A	016635	CN	16	496.00
A	016640	CN	1718	18506.00
A	016641	CN	940	6334.00
A	016642	CN	491	4516.00
A	016643	CN	203	1243.00
A	016644	CN	304	3994.00
A	016690	CN	309	29324.00
A	016691	CN	1	.00
A	017100	CN	53	99.00
A	017110	CN	216	3998.00
A	017120	CN	2428	6079.00
A	017130	CN	362	556.00
A	017140	CN	280	2263.00
